Name,Divisions,Latitude,Longitude,Address,Normal_site,Auto_site,Glamping,Caravan,Restroom,Shower_room,Sink,Homepage
팔리봉캠핑장,자동차야영장,38.1787065,128.1950568,강원도 인제군 북면 월학리 ,19,0,0,0,1,1,2,https://cafe.daum.net/weolhakcamping
네스트 캠핑장,자동차야영장,37.9363178,127.5412067,경기 가평군 북면 화악산로 943-50,19,0,0,0,4,4,4,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=7125&viewType=read01
신안우전설레미캠핑장 ,"일반야영장,자동차야영장,카라반",34.9675274,126.1388314,전남 신안군 증도면 지도증도로 1797-1,19,0,0,6,1,1,2,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=7170&viewType=read01
우리들 캠핑장,"일반야영장,글램핑",37.9092335,127.5534473,경기도 가평군 북면 화악산로 243,19,0,7,0,2,2,9,http://r.camperstory.com/resMain.hbb?reserve_path=RP&campseq=2069
감 이야기 캠핑장,일반야영장,35.6659701,129.001225,경상북도 청도군 운문면 신원리 ,20,0,0,0,4,3,3,http://www.xn--hq1b009amudc8bzxn.kr/
강진자연드림팜핑관광농원 ,"일반야영장,글램핑",34.5351298,126.8000499,전라남도 강진군 대구면 저두리 ,20,0,8,0,1,1,1,https://cafe.naver.com/0081bm
계림정야영장 ,일반야영장,35.3518707,127.8416895,경상남도 산청군 삼장면 홍계리 ,20,0,0,0,8,2,5,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=236&viewType=read01
공주계곡캠핑장 ,일반야영장,36.557951,127.019957,충청남도 공주시 사곡면 운암리 ,20,0,0,0,2,2,2,http://xn--ob0b391cn3ab7lzkj.kr/
공주산림휴양마을 ,자동차야영장,36.4227364,127.1201901,충남 공주시 금학동 140-1 ,20,0,0,0,2,2,1,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030011
국립남해편백자연휴양림 ,일반야영장,34.7517334,128.0170286,경상남도 남해군 삼동면 금암로 658 ,20,0,0,0,0,0,0,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0192
국립천관산자연휴양림,일반야영장,34.5451015,126.8997834,전라남도 장흥군 관산읍 칠관로 842-1150 ,20,0,0,0,1,1,1,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0196
꽃주렁나무주렁캠핑장 ,자동차야영장,37.1143322,127.2100891,경기 용인시 처인구 이동읍 경기동로1024번길 40,20,0,0,0,2,2,6,https://cafe.naver.com/jureong/
나그네캠핑장 ,일반야영장,36.2664844,127.1888456,충청남도 논산시 연산면 어은리 ,20,0,0,0,2,2,2,https://cafe.naver.com/nagenecamping
남양주 휴림캠핑장 ,자동차야영장,37.7143513,127.3003375,경기도 남양주시 지둔로 344-0 ,20,0,0,0,2,2,1,https://cafe.naver.com/likecampingcamping
